date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:10:47	170193/170193	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Jul%202025%2012:57:17%20GMT	https://benlordiase.com/index.html	C:/My%20Web%20Sites/phantom/benlordiase.com/index.html	(from )
13:10:48	452/452	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Aug%202025%2018:10:47%20GMT	https://benlordiase.com/robots.txt		(from )
13:10:48	683/683	---MC-	302	error ('Found')	text/html	date:Fri,%2001%20Aug%202025%2018:10:48%20GMT	https://benlordiase.com/index/index.html	C:/My%20Web%20Sites/phantom/benlordiase.com/index/index.html	(from https://benlordiase.com/index.html)
13:10:49	2730/2730	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/phantom/benlordiase.com/index/favicon/apple-touch-icon.png	(from https://benlordiase.com/index.html)
13:10:49	1384/1384	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/favicon/favicon-32x32.png	C:/My%20Web%20Sites/phantom/benlordiase.com/index/favicon/favicon-32x32.png	(from https://benlordiase.com/index.html)
13:10:50	904/904	---M--	200	added ('OK')	image/png	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/favicon/favicon-16x16.png	C:/My%20Web%20Sites/phantom/benlordiase.com/index/favicon/favicon-16x16.png	(from https://benlordiase.com/index.html)
13:10:50	428/428	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/favicon/site.webmanifest	C:/My%20Web%20Sites/phantom/benlordiase.com/index/favicon/site.webmanifest	(from https://benlordiase.com/index.html)
13:10:51	1665/1665	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/phantom/benlordiase.com/index/favicon/safari-pinned-tab.svg	(from https://benlordiase.com/index.html)
13:10:52	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/favicon/favicon.ico	C:/My%20Web%20Sites/phantom/benlordiase.com/index/favicon/favicon.ico	(from https://benlordiase.com/index.html)
13:10:52	683/683	---MC-	302	error ('Found')	text/html	date:Fri,%2001%20Aug%202025%2018:10:52%20GMT	https://benlordiase.com/favicon/browserconfig.xml	C:/My%20Web%20Sites/phantom/benlordiase.com/favicon/browserconfig.xml	(from https://benlordiase.com/index.html)
13:10:52	53540/53540	---M--	200	added ('OK')	font/woff2	date:Sun,%2013%20Jul%202025%2012:51:29%20GMT	https://benlordiase.com/index/_next/static/media/e79de15044935137-s.p.woff2	C:/My%20Web%20Sites/phantom/benlordiase.com/index/_next/static/media/e79de15044935137-s.p.woff2	(from https://benlordiase.com/index.html)
